"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 09:15:17 GMT 2023","Wed Nov 29 09:15:18 GMT 2023","900","webkit","example.spec.js","","","","get started link",""
"passed","Wed Nov 29 09:14:41 GMT 2023","Wed Nov 29 09:14:43 GMT 2023","1941","firefox","example.spec.js","","","","has title",""
"passed","Wed Nov 29 09:14:43 GMT 2023","Wed Nov 29 09:14:50 GMT 2023","6626","firefox","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"broken","Wed Nov 29 09:20:20 GMT 2023","Wed Nov 29 09:20:51 GMT 2023","30887","webkit","first_task.spec.js","internship task","","","should check header visibility",""
"passed","Wed Nov 29 09:14:13 GMT 2023","Wed Nov 29 09:14:14 GMT 2023","762","chromium","example.spec.js","","","","get started link",""
"passed","Wed Nov 29 09:14:58 GMT 2023","Wed Nov 29 09:15:11 GMT 2023","13003","firefox","first_task.spec.js","internship task","","","should generate script",""
"passed","Wed Nov 29 09:14:14 GMT 2023","Wed Nov 29 09:14:20 GMT 2023","5824","chromium","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"passed","Wed Nov 29 09:15:11 GMT 2023","Wed Nov 29 09:15:14 GMT 2023","2875","firefox","first_task.spec.js","internship task","","","should not log in",""
"passed","Wed Nov 29 09:14:13 GMT 2023","Wed Nov 29 09:14:13 GMT 2023","910","chromium","example.spec.js","","","","has title",""
"passed","Wed Nov 29 09:15:15 GMT 2023","Wed Nov 29 09:15:17 GMT 2023","1815","webkit","example.spec.js","","","","has title",""
"broken","Wed Nov 29 09:23:44 GMT 2023","Wed Nov 29 09:24:15 GMT 2023","30717","webkit","first_task.spec.js","internship task","","","should not log in",""
"passed","Wed Nov 29 09:14:20 GMT 2023","Wed Nov 29 09:14:25 GMT 2023","5349","chromium","first_task.spec.js","internship task","","","should show correct search results",""
"broken","Wed Nov 29 09:16:32 GMT 2023","Wed Nov 29 09:17:03 GMT 2023","30952","webkit","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"passed","Wed Nov 29 09:14:56 GMT 2023","Wed Nov 29 09:14:58 GMT 2023","2601","firefox","first_task.spec.js","internship task","","","should check header visibility",""
"broken","Wed Nov 29 09:21:58 GMT 2023","Wed Nov 29 09:22:29 GMT 2023","30624","webkit","first_task.spec.js","internship task","","","should generate script",""
"passed","Wed Nov 29 09:14:37 GMT 2023","Wed Nov 29 09:14:40 GMT 2023","3380","chromium","first_task.spec.js","internship task","","","should not log in",""
"passed","Wed Nov 29 09:14:50 GMT 2023","Wed Nov 29 09:14:56 GMT 2023","5842","firefox","first_task.spec.js","internship task","","","should show correct search results",""
"passed","Wed Nov 29 09:14:25 GMT 2023","Wed Nov 29 09:14:28 GMT 2023","2521","chromium","first_task.spec.js","internship task","","","should check header visibility",""
"broken","Wed Nov 29 09:18:23 GMT 2023","Wed Nov 29 09:19:01 GMT 2023","38630","webkit","first_task.spec.js","internship task","","","should show correct search results",""
"passed","Wed Nov 29 09:14:28 GMT 2023","Wed Nov 29 09:14:37 GMT 2023","8970","chromium","first_task.spec.js","internship task","","","should generate script",""
"passed","Wed Nov 29 09:14:43 GMT 2023","Wed Nov 29 09:14:43 GMT 2023","814","firefox","example.spec.js","","","","get started link",""
